,Country,Broadband Mbps
0,Monaco,192.68
1,Singapore,192.01
2,Chile,189.36
3,Thailand,184.03
4,Hong Kong (SAR),173.42
5,Denmark,163.6
6,Macau (SAR),156.73
7,China,155.79
8,United States,143.76
9,Spain,134.19
10,Romania,127.07
11,Liechtenstein,118.19
12,New Zealand,113.14
13,Japan,112.9
14,United Arab Emirates,111.79
15,Switzerland,110.3
16,Norway,105.61
17,Netherlands,102.6
18,Sweden,102.08
19,Hungary,100.65
20,Canada,100.06
21,Portugal,99.62
22,South Korea,99.59
23,Kuwait,96.93
24,Taiwan,96.82
25,Panama,94.51
26,France,94.34
27,Andorra,92.42
28,Moldova,92.4
29,Luxembourg,92.1
30,Malta,90.36
31,Finland,89.6
32,Israel,87.98
33,Brazil,87.52
34,Poland,86.2
35,Uruguay,85.61
36,Malaysia,84.18
37,Belgium,81.1
38,Lithuania,79.81
39,Trinidad and Tobago,79.35
40,Saudi Arabia,79.32
41,Saint Lucia,73.7
42,Qatar,72.22
43,Germany,69.52
44,Barbados,68.83
45,San Marino,68.29
46,Vietnam,67.5
47,Ireland,66.39
48,Latvia,64.93
49,Russia,63.76
50,Slovenia,63.63
51,United Kingdom,61.69
52,Colombia,59.97
53,Saint Vincent and the Grenadines,58.26
54,Bulgaria,55.9
55,Paraguay,54.58
56,Ukraine,52.5
57,Estonia,52.3
58,Austria,51.62
59,Dominica,50.96
60,Australia,50.89
61,Montenegro,50.81
62,Costa Rica,50.79
63,Grenada,50.66
64,Jordan,50.18
65,Italy,49.8
66,Philippines,49.52
67,Serbia,48.97
68,Czechia,47.68
69,Bahrain,47.38
70,Slovakia,47.34
71,India,47.08
72,Mongolia,46.81
73,Belarus,45.67
74,Kosovo,45.28
75,Kyrgyzstan,43.31
76,Peru,43.21
77,Oman,42.65
78,Nepal,39.73
79,Croatia,39.54
80,Mexico,38.77
81,Argentina,38.47
82,The Bahamas,37.69
83,Uzbekistan,36.85
84,Jamaica,36.45
85,Egypt,35.67
86,Brunei,35.26
87,Armenia,34.26
88,Ecuador,33.96
89,Kazakhstan,33.76
90,Albania,33.5
91,Greece,33.41
92,Belize,31.81
93,Bangladesh,31.52
94,C̫te d'Ivoire,31.42
95,Guyana,31.01
96,South Africa,29.6
97,Cyprus,29.48
98,Nicaragua,29.04
99,Laos,28.11
100,Ghana,27.16
101,North Macedonia,26.77
102,Turkey,26.34
103,Honduras,25.98
104,Saint Kitts and Nevis,25.16
105,Madagascar,25.16
106,Bolivia,24.19
107,Bosnia and Herzegovina,22.56
108,Seychelles,22.13
109,Guatemala,21.56
110,El Salvador,21.11
111,Sri Lanka,20.94
112,Iraq,20.64
113,Senegal,20.36
114,Indonesia,20.2
115,Georgia,20.18
116,Mauritius,19.88
117,Burkina Faso,19.71
118,Cambodia,19.36
119,Lesotho,18.92
120,Mali,17.71
121,Azerbaijan,17.4
122,Antigua and Barbuda,17.36
123,Tajikistan,16.96
124,Togo,16.46
125,Cape Verde,16.37
126,Dominican Republic,15.52
127,Republic of the Union of Myanmar,15.2
128,Haiti,14.89
129,Palestine,14.3
130,Gabon,13.41
131,Morocco,12.78
132,Fiji,12.27
133,Angola,11.97
134,Congo,11.84
135,Libya,11.0
136,Maldives,10.97
137,Suriname,10.79
138,Benin,10.77
139,Western Sahara,10.51
140,Iran,10.39
141,Nigeria,10.06
142,Micronesia,9.75
143,Algeria,9.72
144,Uganda,9.57
145,Rwanda,9.52
146,Liberia,9.48
147,Tanzania,9.45
148,Marshall Islands,9.29
149,Papua New Guinea,9.25
150,Pakistan,9.12
151,Cameroon,9.04
152,Kenya,8.91
153,Sierra Leone,8.57
154,Bhutan,8.52
155,Namibia,8.29
156,The Gambia,7.84
157,Tunisia,7.64
158,Lebanon,7.27
159,Botswana,7.22
160,Venezuela,7.15
161,Somalia,6.78
162,Mozambique,6.23
163,Mauritania,6.1
164,Malawi,5.54
165,Burundi,5.44
166,Zimbabwe,5.21
167,Swaziland,4.94
168,Djibouti,4.71
169,Zambia,4.6
170,Niger,3.85
171,Guinea,3.79
172,Sudan,3.28
173,Syria,2.87
174,Yemen,2.74
175,Ethiopia,2.69
176,Cuba,1.9
177,Turkmenistan,1.89
178,Afghanistan,1.62
