Country,Broadband Mbps,GDP 2020,Rural Population
Afghanistan,1.62,20116137326,74.0
Albania,33.5,9.21E+11,37.9
Algeria,9.72,7.85E+11,26.3
Andorra,92.42,14887629268,12.1
Angola,11.97,1.45E+11,33.2
Antigua and Barbuda,17.36,709000000,75.6
Argentina,38.47,,7.9
Armenia,34.26,58375976293,36.7
Australia,50.89,1370281481,13.8
Austria,51.62,2.45E+12,41.3
Azerbaijan,17.4,3.89E+11,43.6
Bahrain,47.38,12641209802,10.5
Bangladesh,31.52,,61.8
Barbados,68.83,1.33E+12,68.8
Belarus,45.67,4.33E+11,20.5
Belgium,81.1,42607176471,1.9
Belize,31.81,9907500000,54.0
Benin,10.77,34729228723,51.6
Bhutan,8.52,3.23E+11,57.7
Bolivia,24.19,4418000000,29.9
Bosnia and Herzegovina,22.56,60258239056,51.0
Botswana,7.22,5.22E+11,29.1
Brazil,87.52,1636280797,12.9
Brunei,35.26,15651545332,21.8
Bulgaria,55.9,6842700000,24.3
Burkina Faso,19.71,2315437338,69.4
Burundi,5.44,36572764863,86.3
C̫te d'Ivoire,31.42,19946496563,48.3
Cambodia,19.36,15061922802,75.8
Cameroon,9.04,1.44E+12,42.4
Canada,100.06,,18.4
Cape Verde,16.37,12005825770,33.3
Chile,189.36,69889347433,12.3
China,155.79,17933606353,38.6
Colombia,59.97,2841786382,18.6
Congo,11.84,1703698677,54.4
Costa Rica,50.79,25808561551,19.2
Croatia,39.54,40804449726,42.4
Cuba,1.9,1.65E+12,22.8
Cyprus,29.48,66039332389,33.2
Czechia,47.68,5591623665,25.9
Denmark,163.6,2380087758,11.9
Djibouti,4.71,1.65E+12,21.9
Dominica,50.96,10829076802,28.9
Dominican Republic,15.52,,17.5
Ecuador,33.96,2.53E+11,35.8
Egypt,35.67,1.47E+13,57.2
El Salvador,21.11,2.71E+11,26.6
Estonia,52.3,1235400352,30.8
Ethiopia,2.69,48716960860,78.3
Fiji,12.27,10187122341,42.8
Finland,89.6,61846895121,14.5
France,94.34,61348579465,19.0
Gabon,13.41,57203783203,9.9
Georgia,20.18,1.07E+11,40.5
Germany,69.52,2595821709,22.5
Ghana,27.16,24612646488,42.7
Greece,33.41,2.45E+11,20.3
Grenada,50.66,3.56E+11,63.5
Guatemala,21.56,3384385217,48.2
Guinea,3.79,504214814.8,63.1
Guyana,31.01,78844702329,73.2
Haiti,14.89,1.07E+13,42.9
Honduras,25.98,2.71E+13,41.6
Hong Kong (SAR),173.42,1.74E+13,0.0
Hungary,100.65,1.74E+13,28.1
India,47.08,98808010000,65.1
Indonesia,20.2,3.65E+11,43.4
Iran,10.39,24638720000,24.1
Iraq,20.64,10021856754,29.1
Ireland,66.39,,36.3
Israel,87.98,30650285472,7.4
Italy,49.8,3972728948,29.0
Jamaica,36.45,1.08E+11,43.7
Japan,112.9,1.30E+13,8.2
Jordan,50.18,2.21E+13,8.6
Kazakhstan,33.76,3.22E+12,42.3
Kenya,8.91,3.88E+12,72.0
Kosovo,45.28,1.53E+13,
Kuwait,96.93,,0.0
Kyrgyzstan,43.31,4533883782,63.1
Laos,28.11,2.70E+11,63.7
Latvia,64.93,1.51E+12,31.7
Lebanon,7.27,2.63E+12,11.1
Lesotho,18.92,,71.0
Liberia,9.48,15316826192,47.9
Libya,11,1868086275,19.3
Liechtenstein,118.19,15846489611,85.6
Lithuania,79.81,3.85E+12,32.0
Luxembourg,92.1,68532281806,8.5
Macau (SAR),156.73,,0.0
Madagascar,25.16,1.89E+11,61.5
Malawi,5.54,,82.6
Malaysia,84.18,1042100556,22.8
Maldives,10.97,5844000000,59.3
Mali,17.71,77604632171,56.1
Malta,90.36,15681050917,5.3
Marshall Islands,9.29,1431758243,22.2
Mauritania,6.1,5471256595,44.7
Mauritius,19.88,14508218017,59.2
Mexico,38.77,7.98E+11,19.3
Micronesia,9.75,5.35E+13,77.1
Moldova,92.4,23662231634,57.2
Monaco,192.68,3.47E+11,0.0
Mongolia,46.81,1.56E+11,31.3
Montenegro,50.81,2.99E+13,32.5
Morocco,12.78,21718075725,36.5
Mozambique,6.23,3.21E+13,62.9
Namibia,8.29,9.62E+11,48.0
Nepal,39.73,1.28E+12,79.4
Netherlands,102.6,2.24E+12,7.8
New Zealand,113.14,2.66E+12,13.3
Nicaragua,29.04,1.06E+12,41.0
Niger,3.85,2.03E+11,83.4
Nigeria,10.06,1.67E+11,48.0
North Macedonia,26.77,4.26E+11,41.5
Norway,105.61,,17.0
Oman,42.65,4.07E+11,13.7
Pakistan,9.12,1.89E+12,62.8
Palestine,14.3,13812425037,
Panama,94.51,5.06E+12,31.6
Papua New Guinea,9.25,43697659296,86.7
Paraguay,54.58,1.71E+11,37.8
Peru,43.21,1.01E+11,21.7
Philippines,49.52,197508774.3,52.6
Poland,86.2,,40.0
Portugal,99.62,1.64E+12,33.7
Qatar,72.22,7716925356,0.8
Republic of the Union of Myanmar,15.2,1.06E+11,68.9
Romania,127.07,7735976273,45.8
Russia,63.76,19132635712,25.2
Rwanda,9.52,2.24E+13,82.6
Saint Kitts and Nevis,25.16,4.73E+12,69.2
Saint Lucia,73.7,4.04E+12,81.2
Saint Vincent and the Grenadines,58.26,4.48E+12,47.0
San Marino,68.29,33707320816,2.5
Saudi Arabia,79.32,1.11E+12,15.7
Senegal,20.36,31735217785,51.9
Serbia,48.97,1875227642,43.6
Seychelles,22.13,3201187800,42.5
Sierra Leone,8.57,25418916029,57.1
Singapore,192.01,,0.0
Slovakia,47.34,56546957475,46.2
Slovenia,63.63,3.10E+13,44.9
Somalia,6.78,4.60E+11,53.9
South Africa,29.6,7.38E+12,32.6
South Korea,99.59,73353132794,37.6
Spain,134.19,25586111076,19.2
Sri Lanka,20.94,13056079982,81.3
Sudan,3.28,12182348213,64.7
Suriname,10.79,3.37E+11,33.9
Swaziland,4.94,3742769967,75.829
Sweden,102.08,17465392916,12.0
Switzerland,110.3,14647384608,26.1
Syria,2.87,244462400,44.5
Taiwan,96.82,7913680231,
Tajikistan,16.96,10920606198,72.5
Tanzania,9.45,1.07E+12,64.8
Thailand,184.03,410083600,48.6
The Bahamas,37.69,3.04E+12,16.8
The Gambia,7.84,1.20E+12,37.4
Togo,16.46,1.18E+12,57.2
Trinidad and Tobago,79.35,3.05E+13,46.8
Tunisia,7.64,11915547263,30.4
Turkey,26.34,6816219303,23.9
Turkmenistan,1.89,13312981595,47.5
Uganda,9.57,4769860741,75.0
Ukraine,52.5,1.15E+11,30.4
United Arab Emirates,111.79,14019446610,13.0
United Kingdom,61.69,79852046611,16.1
United States,143.76,10619194505,17.3
Uruguay,85.61,114626625.6,4.5
Uzbekistan,36.85,33657175561,49.6
Venezuela,7.15,9.14E+11,11.7
Vietnam,67.5,,62.7
Western Sahara,10.51,2.11E+11,52.2
Yemen,2.74,12621505383,62.1
Zambia,4.6,13741378450,55.4
Zimbabwe,5.21,4.32E+11,67.8
,,2.26E+13,
,,12263710123,
,,,
,,3.62E+11,
,,,
,,5.24E+13,
,,73971391417,
,,3.76E+11,
,,9530487872,
,,2.63E+11,
,,257700000,
,,53977036995,
,,24668899683,
,,35670301496,
,,2.02E+11,
,,3.61E+11,
,,5.97E+11,
,,2.29E+11,
,,4.96E+13,
,,1.29E+12,
,,1.03E+11,
,,1.44E+11,
,,2.49E+11,
,,1.48E+12,
,,10333991456,
,,807100820.6,
,,,
,,472914469.9,
,,7.00E+11,
,,24644234595,
,,53335016425,
,,1059886364,
,,4063289450,
,,3.40E+11,
,,,
,,1.05E+11,
,,53589609581,
,,4.51E+11,
,,1545888426,
,,6965285325,
,,3.35E+11,
,,3.39E+12,
,,3.39E+12,
,,,
,,1.28E+12,
,,80676681934,
,,980740740.7,
,,1616772741,
,,,
,,807474074.1,
,,1.71E+12,
,,1.70E+12,
,,1.71E+12,
,,21329109522,
,,2884248048,
,,5.41E+11,
,,7.52E+11,
,,,
,,8194150302,
,,62409709111,
,,5.02E+11,
,,1902156800,
,,7574636979,
,,488829964.1,
,,21588037505,
,,41620349986,
,,7.20E+11,
,,,
,,924583000,
,,48855550.2,
,,37600368181,
,,1.55E+11,
,,3.59E+11,
,,2.76E+12,
,,2.10E+13,
,,2.32E+13,
,,53628827440,
,,59929951114,
,,881547928.6,
,,,
,,2.71E+11,
,,,
,,15561300000,
,,8.47E+13,
,,,
,,18110631358,
,,18051170799,
